Unnamed: 0	PMID	title	abstract
10	10779687	importance of meshd001244 between permeabilization and electrophoretic forces for intramuscular meshd004247 electrotransfer	meshd005796 transfer using electrical meshd011674 is a rapidly expanding field many studies have been performed meshd066298 to elucidate the mechanism of meshd004247 electrotransfer in vivo the meshq000706 of efficient meshq000379 for meshd004247 electrotransfer in meshd014024 is recent and the question of the implied mechanisms is largely open we have evaluated the effects of various combinations of square wave electric meshd011674 of variable field strength and duration on meshd002477 permeabilization and on meshd004247 meshd014162 in the meshd018482 in vivo one high voltage meshd011674 of 800 vcm 01 ms duration short high meshd011674 or a series of four low voltage meshd011674 of 80 vcm 83 ms duration long low meshd011674 slightly amplified meshd014162 efficacy while no significant permeabilization was detected using the 51cr-meshd004492 uptake test by contrast the combination of one short high meshd011674 followed by four long low meshd011674 led to optimal meshd005796 transfer meshd004526 while inducing meshd009132 fibers permeabilization these results are consistent with additive effects of electropermeabilization and meshd004247 meshd004586 on electrotransfer meshd004526 finally the described new combination as compared to the previously reported meshq000706 of repeated identical meshd011674 of intermediate voltage meshd007854 to similar meshd005796 transfer meshd004526 while causing less permeabilization and thus being likely less deleterious thus combination of meshd011674 of various strengths and durations is a new meshd008722 for meshd018482 meshd005796 transfer that may represents a clear improvement in view of further clinical meshq000254
11	7553864	multiple proteolytic systems including the meshd046988 contribute to cftr processing	the molecular components of the meshd011786 system that rapidly degrades abnormal meshd008566 and secretory meshd011506 have not been identified the meshd019005 cftr is an meshd008565 to which this meshd011786 is stringently applied approximately 75 of the wild-type precursor and 100 of the delta f508 cftr variant found in most cf meshd010361 are rapidly degraded before exiting from the er we now show that this er meshq000378 is sensitive to meshq000037 of the cytosolic meshd046988 including meshc067713 and certain meshd010455 meshd000447 one of the latter compounds meshc072553 also completely blocks the meshd000255-dependent conversion of the wild-type precursor to the native folded meshd020478 that enables escape from meshq000378 hence cftr and presumably other intrinsic meshd008565 are substrates for proteasomal meshq000378 during their maturation within the er
12	10402249	a new meshd050257 meshc105791 induces meshd009369 regression in a meshd006801 meshd008258 meshd064593 model	meshd008258 wm is an uncommon lymphoproliferative meshd004194 which remains incurable with current meshd002985 we have previously established a permanent wm meshd002460 wsu-wm which grows as a meshd064593 in severe combined immune deficient scid meshd051379 in this study we investigated the anti-meshd009369 effects of meshc105791 a structural modification of the marine shell-less meshd008974 meshd010455 constituent meshc064570 wsu-wm meshd002477 were cultured in rpmi-1640 at a concentration of 2x105 meshd002477ml using 24-well plates meshc105791 or meshc064570 were added to triplicate wells and meshd002452 and viability were assessed after 24 48 and 72 h results showed that both agents were active against wsu-wm and were able to induce complete meshq000254 inhibition at 100 pgml the efficacy of these agents in vivo was evaluated using the wsu-wm meshd016513 meshd064593 model meshc105791 and meshc064570 were given iv via meshd013623 meshd014680 at 20 mgkg and 02 mgkg respectively the agents were given every second day for three meshd007267 which represent the meshd020714 meshd009369 meshq000254 inhibition tc meshd009369 meshq000254 delay t-c and log10 kill for meshc105791 and meshc064570 were 0 18 days 283 and 67 2 days 006 respectively based on these meshd000818 results meshc064570 was inactive while meshc105791 was highly active we therefore focused further investigation on meshc105791 to understand some of its meshq000494 using two meshd005434 assays meshd011419 for meshd002453 meshq000032 and meshc025942 meshc025942 to detect meshd017209 we were able to demonstrate that meshc105791 at 10 pgml after 24 h arrested 50 of wsu-mw meshd002477 in g2m concomitantly 31 of meshc105791-treated meshd002477 entered meshd017209 by 72 h greater than 75 of the meshd002477 became apoptotic the activity of meshc105791 should be evaluated in other meshd009369 types and in meshd016430
13	11121808	meshd002196 recruitment is impaired in meshd000075222 and relates to meshd007328s metabolic and vascular actions	in meshd010361 with meshd000075222 meshq000002 in both the metabolic and vascular actions of meshd007328 have been described impaired microvascular meshq000502 a well-established abnormality in meshd000075222 may explain part of these meshq000002 in the present study we investigated whether microvascular meshq000502 is impaired in meshd000075222 and relates to meshd007328s metabolic and vasodilatatory actions we measured 24-h ambulatory meshd001794 meshd002196 recruitment after arterial occlusion and meshd012867 meshd001775 responses to meshd007478 of meshd000109 and meshd009599 in 18 subjects with untreated meshd000075222 and in 18 meshq000517 subjects whole body meshd007333 and meshd007866 meshd007328-mediated meshd014664 were assessed with the hyperinsulinaemic clamp technique and meshd010991 hypertensive as compared to normotensive subjects had a decreased meshd007333 08-03 vs 17-0 6 mgkg-1min-1 per pmoll-1 p0001 meshd002196 recruitment after arterial occlusion 215-58 vs 459-104 p0001 meshd000109-mediated meshd014664 331-84 vs 688-192 p0 001 and meshd007328-mediated meshd014664 median 293 vs 472 p005 correlation analyses with meshd000223 for meshd012723 age meshd015992 and meshd049629 showed significant relationships of meshd002196 recruitment after arterial occlusion with meshd001794 r-068 p001 meshd007333 r055 p001 and meshd007328-mediated meshd014664 r051 p005 which extended from the normotensive to the hypertensive range meshd012867 microvascular meshq000502 is associated with meshd001794 and meshd007328s metabolic and vasodilatatory actions both in normotensive and hypertensive subjects these meshq000175 offer a potential mechanistic explanation of the links among meshd007333 impaired meshd007328-mediated meshd014664 and meshd006973
14	9626349	meshd014568 upa meshd004467 by meshd006801 meshd001940 myo meshd005347 meshd066298 influence of meshd0162121 meshd0162121 compared with factors released by meshd006801 epithelial-meshd002277 meshd002477	the meshd014568 upa may be considered as a key meshd004798 in the processes of meshd009369 meshd002477 invasion and meshd009362 evidence has been presented that in meshd001940 stroma upa is expressed predominantly by meshd058628 located at the invasive areas of the meshd009369 to examine whether meshd015291 type-1 meshd0162121 produced by meshd001943 meshd002477 is a candidate responsible for the induction of upa-producing meshd058628 we studied meshd066298 the capacity of normal and meshd009369-derived meshd006801 meshd001940 meshd005347 to express upa and the meshd058628 marker alpha-meshd009130 meshd000199 in response to meshd0162121 next we compared these influences with those elicited by factors released by epithelial-meshd009369 meshd002477 in all 8 meshd005347 meshd013180 tested meshd0162121 induced a similar concentration-dependent increase in the fraction of alpha-meshd009130-meshd000199-positive meshd005347 while upa expression was decreased by meshd0162121 in most of the meshd005347 meshd013180 2 meshd013180 were relatively insensitive to meshd0162121 in this meshd000078682 although factors present in media conditioned by non-upa-producing epithelial-meshd009369 meshd002477 could trigger meshd005347 to become potent producers of upa the meshd0162121 content of the meshd017077 were linked to the differential effects of externally added meshd0162121 with meshd000078682 to upa expression the data demonstrate that although meshd005347 may utilize meshd0162121 secreted by meshd009369 meshd002477 to differentiate into meshd058628 meshd009369 meshd002477 secrete factors other than meshd0162121 ultimately responsible for the generation of powerful upa-producing meshd005347
15	10648858	meshq000254 of a rapid single-step meshd008722 using meshd011506 g meshd002846 to deplete meshd012710 of its meshd007074 and to isolate meshd051189 meshd007074 meshd000911 from supernatants of meshd006825 meshd002477	meshd012710 fcs was depleted of its meshd007074 meshd007074 in a rapid meshd008722 using meshd011506 g meshd002846 20 ml of fcs was depleted of its meshd007074 in less than 80 min by applying 5 ml of fcs to a 1 ml hitrap meshd011506 g meshd012685 column followed by appropriate elution various concentrations of meshd007074-depleted fcs g-fcs were used in rpmi-1640 medium to grow the meshd051379 meshd006825 meshd002460 cay-g anti-hbs meshd007074 mab producing meshd006825 meshd002477 and cay-m anti-hbs meshd007075 mab producing meshd006825 meshd002477 which secreted meshd006515 meshd000954 meshd006514-reactive meshd007074 and meshd007075 meshd000911 mabs respectively meshd000917 and meshd002477 meshq000254 were used as indices to compare the efficacy of rpmig-fcs with that of rpmifcs and meshd044967meshd011506-free hybri max sigma mo usa meshd006825 medium mab meshd004467 and meshd002477 meshq000254 of cay-g and cay-m meshd006825 meshd002460 in rpmig-fcs were similar to meshq000208 in rpmifcs and significantly better than meshq000208 in hybri max we found that g-fcs was superior to whole fcs as a meshq000208 supplement for the meshq000302 of meshd007074 mabs meshd007074 mabs were isolated in a single-step meshd008722 using meshd011506 g meshd002846 from the supernatant of cay-g meshd006825 meshd002477 cultured in rpmi10 g-fcs rpmi-1640 medium supplemented with 10 g-fcs meshd004591 meshq000032 revealed that the purity of meshd007074 isolated from the supernatant of cay-meshd019863 cultured in rpmi10 g-fcs was more than 99
16	8110824	arrangement of meshc483858 molecular species in meshd004926 meshd008566 and reconstituted meshd008055 as determined by meshd004120 cross-linking of nearest neighbor meshd008055	meshd004120 cross-linking has been used to determine the arrangement of meshc483858 pe molecular species in meshd004926 meshd008566 no large deviations from random mixing were found in wild-type meshd013180 ab1623 either in whole meshd002477 or in extracted meshd008055 which were reconstituted into multilamellar vesicles these results suggest first that there is little difference in the pe molecular species composition of the three meshd008055 monolayers the inner and outer monolayers of the inner meshd008566 and the inner monolayer of the outer meshd008566 which contain significant amounts of pe secondly the results suggest that the molecular species within each monolayer and in the extracted meshd008055 are arranged close to randomly with no tendency for like molecular species to cluster e coli meshd013180 l8-2 which has a defect in beta-oxidation and a meshd013696-sensitive meshd009154 in total meshd005227 synthesis was grown on cis-vaccenate cis-1112- octadecenate to enrich the meshd002477 in meshc113794 again in whole meshd002477 or in meshd008055 extracted from whole meshd002477 and reconstituted into multilamellar vesicles the species were close to randomly arranged however a consistent slight tendency of divaccenoyl species to pair with like species as compared to pairing with the second most common species vaccenoyl palmitoleoyl pe was noted in both extracted meshd008055 and in whole meshd002477
17	12769826	the meshd014024 microarray data exchange specification a meshd012111-based open source tool for sharing meshd014024 microarray data	meshd014024 microarrays tmas allow meshd012108 to examine hundreds of small meshd014024 samples on a single meshd005898 slide the information held in a single tma slide may easily involve gigabytes of data to benefit from tma meshd013672 the scientific meshd012111 meshd006301 an open source tma data exchange specification that meshd014836 convey all of the data in a tma experiment in a format that is understandable to both meshd006801 and meshd003201 a data exchange specification for tmas allows meshd012108 to submit their data to journals and to public data repositories and to share or merge data from different meshd007753 in may 2001 the meshd001244 of meshq000473 meshd048088 api hosted the first in a series of four meshd004493 co-sponsored by the meshd054547 to develop an open meshd012111-supported tma data exchange specification a draft meshd014024 microarray data exchange specification was developed through meshd004493 meetings the first meshd004493 confirmed meshd000091443 for the effort and urged the creation of an open xml-based specification this was to evolve in steps with approval for each step coming from the stakeholders in the user meshd012111 during open meshd004493 by the fourth meshd004493 held october 2002 a set of meshd065709 cdes was established as well as a basic strategy for organizing tma data in meshd004532-describing xml documents the tma data exchange specification is a well-formed xml document with four required sections 1 header containing the specification dublin core identifiers 2 block describing the meshd010232-embedded array of meshd014024 3slide describing the meshd005898 slides produced from the block and 4 core containing all data related to the individual meshd014024 samples contained in the array eighty cdes conforming to the iso-11179 specification for data meshd004602 constitute xml tags used in the tma data exchange specification a set of six simple meshd012660 rules describe the complete data exchange specification anyone using the data exchange specification can validate their tma files using a meshd012984 implementation written in perl and distributed as a supplemental file with this meshd011642 the tma data exchange specification is now available in a draft meshd020478 with meshd012111-approved meshd065709 and a meshd012111-approved general file format and data structure the specification can be freely used by the scientific meshd012111 efforts sponsored by the meshd001244 for meshq000473 meshd048088 to refine the draft tma data exchange specification are expected to continue for at least two more years the interested public is invited to participate in these open efforts information on meshd005544 meshd004493 meshd014836 be posted at httpwwwpathologyinformaticsorg api we site
18	8858183	meshd001053 e in meshd009462	meshd001053 e became relevant for meshd000072141 in 1993 when the meshd001244 of the meshd001053 e-epsilon 4 meshd000483 with familial and sporadic meshd000544 was reported since that meshd013995 more than 100 confirmations and many meshd012106 meshd010209 have appeared a large neurobiological meshd008091 concerning the meshd012380 of meshd001053 e in the meshq000378 of the meshd002490 is developing
19	10632361	wild-type p53 can induce p21 and meshd017209 in meshd009447 meshd002477 but the meshd004249-induced g1 checkpoint meshq000502 is attenuated	p53 is a meshd025521 important in the meshd012926 of meshd017209 because p53 meshq000502 as a meshd014157 cellular responses depend upon activity of p53 localized in the nucleus cytoplasmic sequestration of p53 has been proposed as a mechanism by which the meshq000502 of this meshd011506 can be suppressed particularly in meshd009369 types such as meshd009447 in which the meshq000453 of meshd009154 of p53 is low data presented here demonstrate that nuclear p53 meshd011506 is expressed in a panel of meshd009447 meshd002460 and after exposure to meshd004249 transcriptionally active p53 expression can be induced after exposure to both equitoxic ic80 and 10-gy doses of meshd011839 both p53 and p21 were induced but meshd059585 was attenuated to investigate whether the meshd004249 signaling pathway was incapable of inducing sufficient p53 in these meshd002477 we expressed additional wild-type p53 after adenoviral vector transduction this exogenous p53 expression also resulted in p21 induction but was unable to enhance the g1 arrest suggesting that the pathway downstream from p53 is nonfunctional although p53-mediated g1 arrest is attenuated in meshd009447 meshd002477 the meshd001076 of p53 to induce meshd017209 appears functional consistent with its chemosensitive meshd010641 this meshd014937 demonstrates that p53 is expressed in the nucleus of meshd009447 meshd002477 and can mediate induction of p21 however this meshd002477 type appears to have an attenuated meshd001076 to mediate a meshd004249-induced meshd059585
20	10564744	effect of short-term meshd000431 exposure on the meshd013493 of meshd007031 immunohystochemical study in meshd051379	morphological changes of the meshd013493 scn of the meshd007031 were investigated in meshd051379 exhibiting intoxication meshq000175 of stages 2 or 3 after a short application term of 6 meshd000431 alterations in meshd009457 and meshd009474 were examined using anti-meshd005904 gfap and anti-meshd064026 d28k meshd000911 respectively the results revealed that short-term meshd000431 exposure led to strong expression of gfap-immunoreactivity gfap-ir in the dorsomedial part of the scn furthermore gfap-ir meshd001253 showed an increase in number and meshd006984 with longer processes however meshd064026 d28k-ir meshd009474 were apparently little changed in the scn it is concluded that neuroadaptive response of meshd001253 could occur before the neurotoxic effects emerge on meshd009474 on the scn
21	7619574	meshd010300 meshd004813 meshd003933 and management	since the introduction of meshd007980 meshq000628 for meshd010300 over 20 years ago there has been an awakening of meshd012106 interest in this chronic neuro-degenerative disorder this meshd010209 describes current meshd032882 of the meshd012380 of genetic and environmental factors in the aetiology of meshd010300 and problems associated with both meshd003933 and management it briefly meshd020489 both pharmacological and non-pharmacological options for meshq000628 despite an increasing armoury of available meshq000628 the optimum management for this condition remains controversial
22	12913112	dual recognition of the meshd012270 and the meshd018271 by the meshc036318 during meshd011506 targeting to the meshd004721	we have analyzed the interactions between the meshd018271 srp the meshc036318 sr and the meshd012270 using meshd020558 assays meshd015374 experiments and meshd012270 binding assays possible mechanisms that could contribute to an enhanced affinity between the sr and the srp-meshd012270 nascent chain complex to promote meshd021381 under physiological meshd009994 conditions have been explored meshd012270 or 60s meshd054658 activate the meshd020558 cycle of srp54 and sralpha by providing a platform for assembly of the srp-sr complex meshd015374 experiments revealed high-affinity saturable binding of meshd012270 or meshd054658 to the sr remarkably the sr has a 100-fold higher affinity for the meshd012270 than for srp meshc020485 that contain the sr bind nontranslating meshd012270 with an affinity comparable to that shown by the meshd000069816 an nh2-terminal 319-residue segment of sralpha is necessary and sufficient for binding of sr to the meshd012270 we propose that the meshd012270-sr interaction accelerates targeting of the meshd012270 nascent chain complex to the rer while the srp-sr interaction is crucial for maintaining the fidelity of the targeting reaction
23	9889302	bcl-2 overexpression protects the neonatal meshd002531 from meshd000431 neurotoxicity	the developing meshd009420 is extremely sensitive to meshd000431 and exposure often produces a condition known as the meshd063647 although mechanisms underlying developmental meshd000431 meshq000633 have long been sought they remain poorly understood in this study we examined the meshd001076 of the meshd016923 repressor meshd005796 bcl-2 to protect against meshd000431 neurotoxicity meshd008822 overexpressing bcl-2 in meshd009474 were exposed to meshd000431 vapor on postnatal days 4 and 5 which is the peak period of vulnerability of cerebellar meshd011689 to meshd000431 while exposure of wild-type meshd000818 to meshd000431 resulted in significant loss of meshd011689 by p5 similar exposure of homozygous and heterozygous transgenics had no effect on the number of these meshd009474 this study suggests that bcl-2 can protect meshd009474 from meshd000431 neurotoxicity and that modulation of meshd016923 effector or repressor meshd005796 products may meshd010988 a significant meshd012380 in developmental meshd000431 neurotoxicity
24	12657676	synchronized formation and remodeling of meshd057907 long-term visualization of hippocampal meshd009474 expressing meshc033652 tagged with meshd049452	to explore mechanisms governing the formation and remodeling of meshd057907 psd we used dissociated meshq000208 of hippocampal meshd009474 isolated from transgenic meshd004628 expressing meshd049452 gfp-tagged psd meshd011506 psd-zip45 homer 1c and psd-95 expression of gfp-tagged psd molecules was stable and the remodeling process of psds could be followed for 1 week a higher expression level of gfp-psd-zip45 enabled us to quantitatively analyze the amount of psd-zip45 clusters during meshq000254 repetitive imaging of the same meshd002477 meshd011153 between 11 and 17 d in meshq000208 revealed an increase of the average psd-zip45 cluster density from 032 to 073microm newly generated meshd003712 rapidly acquired gfp-psd-zip45 clusters and their density reached the level of parental meshd003712 within a few days temporal profiles of gfp-psd-zip45 cluster density showed a variety of patterns some meshd003712 showed a monotonous increase of clusters whereas others showed complex patterns including short decremental stages meshq000032 of long-term remodeling of psd-95-gfp clusters confirmed that the decremental stages were not specific to the psd-zip45 clusters comparison of the temporal profiles of the cluster density among meshd009474 indicated synchronization of both gfp-psd-zip45 and psd-95 meshd016000 within individual meshd002477 furthermore activation of meshd017868 suppressed the decremental stages of cluster remodeling these meshd019370 suggest the presence of signaling mechanisms that can induce synchronized addition or elimination of psd meshd011506 throughout meshd009473 of a single meshd009474
