	PMID	title	abstract
10	10779687	Importance of MeSHD001244 between permeabilization and electrophoretic forces for intramuscular MeSHD004247 electrotransfer.	MeSHD005796 transfer using electrical MeSHD011674 is a rapidly expanding field. Many studies have been performed MeSHD066298 to elucidate the mechanism of MeSHD004247 electrotransfer. In vivo, the MeSHQ000706 of efficient MeSHQ000379 for MeSHD004247 electrotransfer in MeSHD014024 is recent, and the question of the implied mechanisms is largely open. We have evaluated the effects of various combinations of square wave electric MeSHD011674 of variable field strength and duration, on MeSHD002477 permeabilization and on MeSHD004247 MeSHD014162 in the MeSHD018482 in vivo. One high voltage MeSHD011674 of 800 V/cm, 0.1 ms duration (short high MeSHD011674) or a series of four low voltage MeSHD011674 of 80 V/cm, 83 ms duration (long low MeSHD011674) slightly amplified MeSHD014162 efficacy, while no significant permeabilization was detected using the (51)Cr-MeSHD004492 uptake test. By contrast, the combination of one short high MeSHD011674 followed by four long low MeSHD011674 led to optimal MeSHD005796 transfer MeSHD004526, while inducing MeSHD009132 fibers permeabilization. These results are consistent with additive effects of electropermeabilization and MeSHD004247 MeSHD004586 on electrotransfer MeSHD004526. Finally, the described new combination, as compared to the previously reported MeSHQ000706 of repeated identical MeSHD011674 of intermediate voltage, MeSHD007854 to similar MeSHD005796 transfer MeSHD004526, while causing less permeabilization and thus being likely less deleterious. Thus, combination of MeSHD011674 of various strengths and durations is a new MeSHD008722 for MeSHD018482 MeSHD005796 transfer that may represents a clear improvement in view of further clinical MeSHQ000254.
11	7553864	Multiple proteolytic systems, including the MeSHD046988, contribute to CFTR processing.	The molecular components of the MeSHD011786 system that rapidly degrades abnormal MeSHD008566 and secretory MeSHD011506 have not been identified. The MeSHD019005 (CFTR) is an MeSHD008565 to which this MeSHD011786 is stringently applied; approximately 75% of the wild-type precursor and 100% of the delta F508 CFTR variant found in most CF MeSHD010361 are rapidly degraded before exiting from the ER. We now show that this ER MeSHQ000378 is sensitive to MeSHQ000037 of the cytosolic MeSHD046988, including MeSHC067713 and certain MeSHD010455 MeSHD000447. One of the latter compounds, MeSHC072553, also completely blocks the MeSHD000255-dependent conversion of the wild-type precursor to the native folded MeSHD020478 that enables escape from MeSHQ000378. Hence, CFTR and presumably other intrinsic MeSHD008565 are substrates for proteasomal MeSHQ000378 during their maturation within the ER.
12	10402249	A new MeSHD050257, MeSHC105791, induces MeSHD009369 regression in a MeSHD006801 MeSHD008258 MeSHD064593 model.	MeSHD008258 (WM) is an uncommon lymphoproliferative MeSHD004194 which remains incurable with current MeSHD002985. We have previously established a permanent WM MeSHD002460, WSU-WM, which grows as a MeSHD064593 in severe combined immune deficient (SCID) MeSHD051379. In this study, we investigated the anti-MeSHD009369 effects of MeSHC105791 (a structural modification of the marine, shell-less MeSHD008974 MeSHD010455 constituent MeSHC064570). WSU-WM MeSHD002477 were cultured in RPMI-1640 at a concentration of 2x10(5) MeSHD002477/ml using 24-well plates. MeSHC105791 or MeSHC064570 were added to triplicate wells and MeSHD002452 and viability were assessed after 24, 48 and 72 h. Results showed that both agents were active against WSU-WM, and were able to induce complete MeSHQ000254 inhibition at 100 pg/ml. The efficacy of these agents in vivo was evaluated using the WSU-WM MeSHD016513 MeSHD064593 model. MeSHC105791 and MeSHC064570 were given i.v. via MeSHD013623 MeSHD014680 at 2.0 mg/kg and 0.2 mg/kg, respectively. The agents were given every second day for three MeSHD007267 which represent the MeSHD020714. MeSHD009369 MeSHQ000254 inhibition (T/C), MeSHD009369 MeSHQ000254 delay (T-C), and log10 kill for MeSHC105791 and MeSHC064570 were 0%, 18 days, 2.83 and 67%, 2 days, 0.06, respectively. Based on these MeSHD000818 results, MeSHC064570 was inactive while MeSHC105791 was highly active. We therefore focused further investigation on MeSHC105791 to understand some of its MeSHQ000494. Using two MeSHD005434 assays, MeSHD011419 for MeSHD002453 MeSHQ000032 and MeSHC025942 (MeSHC025942) to detect MeSHD017209, we were able to demonstrate that MeSHC105791 at 10 pg/ml after 24 h arrested 50% of WSU-MW MeSHD002477 in G2M. Concomitantly, 31% of MeSHC105791-treated MeSHD002477 entered MeSHD017209. By 72 h, greater than 75% of the MeSHD002477 became apoptotic. The activity of MeSHC105791 should be evaluated in other MeSHD009369 types and in MeSHD016430.
13	11121808	MeSHD002196 recruitment is impaired in MeSHD000075222 and relates to MeSHD007328's metabolic and vascular actions.	In MeSHD010361 with MeSHD000075222, MeSHQ000002 in both the metabolic and vascular actions of MeSHD007328 have been described. Impaired microvascular MeSHQ000502, a well-established abnormality in MeSHD000075222, may explain part of these MeSHQ000002. In the present study we investigated whether microvascular MeSHQ000502 is impaired in MeSHD000075222 and relates to MeSHD007328's metabolic and vasodilatatory actions. We measured 24-h ambulatory MeSHD001794, MeSHD002196 recruitment after arterial occlusion, and MeSHD012867 MeSHD001775 responses to MeSHD007478 of MeSHD000109 and MeSHD009599 in 18 subjects with untreated MeSHD000075222 and in 18 MeSHQ000517 subjects. Whole body MeSHD007333 and MeSHD007866 MeSHD007328-mediated MeSHD014664 were assessed with the hyperinsulinaemic clamp technique and MeSHD010991. Hypertensive, as compared to normotensive, subjects had a decreased MeSHD007333 (0.8+/-0.3 vs. 1.7+/-0. 6 mgkg(-1)min(-1) per pmoll(-1); P<0.001), MeSHD002196 recruitment after arterial occlusion (21.5+/-5.8 vs. 45.9+/-10.4%; P<0.001), MeSHD000109-mediated MeSHD014664 (331+/-84 vs. 688+/-192%; P<0. 001), and MeSHD007328-mediated MeSHD014664 (median 29.3 vs. 47.2%; P<0.05). Correlation analyses with MeSHD000223 for MeSHD012723, age, MeSHD015992 and MeSHD049629 showed significant relationships of MeSHD002196 recruitment after arterial occlusion with MeSHD001794 (r=-0.68; P<0.01), MeSHD007333 (r=+0.55; P<0.01) and MeSHD007328-mediated MeSHD014664 (r=+0.51; P<0.05), which extended from the normotensive to the hypertensive range. MeSHD012867 microvascular MeSHQ000502 is associated with MeSHD001794 and MeSHD007328's metabolic and vasodilatatory actions, both in normotensive and hypertensive subjects. These MeSHQ000175 offer a potential mechanistic explanation of the links among MeSHD007333, impaired MeSHD007328-mediated MeSHD014664 and MeSHD006973.
14	9626349	MeSHD014568 (uPA) MeSHD004467 by MeSHD006801 MeSHD001940 (myo) MeSHD005347 MeSHD066298: influence of MeSHD016212(1) (MeSHD016212(1)) compared with factor(s) released by MeSHD006801 epithelial-MeSHD002277 MeSHD002477.	The MeSHD014568 (uPA) may be considered as a key MeSHD004798 in the processes of MeSHD009369 MeSHD002477 invasion and MeSHD009362. Evidence has been presented that, in MeSHD001940 stroma, uPA is expressed predominantly by MeSHD058628 located at the invasive areas of the MeSHD009369. To examine whether MeSHD015291 type-1 (MeSHD016212(1)) produced by MeSHD001943 MeSHD002477 is a candidate responsible for the induction of uPA-producing MeSHD058628, we studied MeSHD066298 the capacity of normal and MeSHD009369-derived MeSHD006801 MeSHD001940 MeSHD005347 to express uPA and the MeSHD058628 marker alpha-MeSHD009130 MeSHD000199 in response to MeSHD016212(1). Next, we compared these influences with those elicited by factor(s) released by epithelial-MeSHD009369 MeSHD002477. In all 8 MeSHD005347 MeSHD013180 tested, MeSHD016212(1) induced a similar concentration-dependent increase in the fraction of alpha-MeSHD009130-MeSHD000199-positive MeSHD005347. While uPA expression was decreased by MeSHD016212(1) in most of the MeSHD005347 MeSHD013180, 2 MeSHD013180 were relatively insensitive to MeSHD016212(1) in this MeSHD000078682. Although factors present in media conditioned by non-uPA-producing epithelial-MeSHD009369 MeSHD002477 could trigger MeSHD005347 to become potent producers of uPA, the MeSHD016212(1) content of the MeSHD017077 were linked to the differential effects of externally added MeSHD016212(1) with MeSHD000078682 to uPA expression. The data demonstrate that, although MeSHD005347 may utilize MeSHD016212(1) secreted by MeSHD009369 MeSHD002477 to differentiate into MeSHD058628, MeSHD009369 MeSHD002477 secrete factor(s) other than MeSHD016212(1) ultimately responsible for the generation of powerful uPA-producing MeSHD005347.
15	10648858	MeSHQ000254 of a rapid, single-step MeSHD008722 using MeSHD011506 G MeSHD002846 to deplete MeSHD012710 of its MeSHD007074 and to isolate MeSHD051189 MeSHD007074 MeSHD000911 from supernatants of MeSHD006825 MeSHD002477.	MeSHD012710 (FCS) was depleted of its MeSHD007074 (MeSHD007074) in a rapid MeSHD008722 using MeSHD011506 G MeSHD002846. 20 ml of FCS was depleted of its MeSHD007074 in less than 80 min by applying 5 ml of FCS to a 1 ml HiTrap MeSHD011506 G MeSHD012685 column followed by appropriate elution. Various concentrations of MeSHD007074-depleted FCS (G-FCS) were used in RPMI-1640 medium to grow the MeSHD051379 MeSHD006825 MeSHD002460 CAy-G (anti-HBs MeSHD007074 mAb producing MeSHD006825 MeSHD002477) and CAy-M (anti-HBs MeSHD007075 mAb producing MeSHD006825 MeSHD002477), which secreted MeSHD006515 MeSHD000954 (MeSHD006514)-reactive MeSHD007074 and MeSHD007075 MeSHD000911 (mAbs), respectively. MeSHD000917 and MeSHD002477 MeSHQ000254 were used as indices to compare the efficacy of RPMI/G-FCS with that of RPMI/FCS and MeSHD044967/MeSHD011506-free Hybri Max (Sigma, MO, USA) MeSHD006825 medium. MAb MeSHD004467 and MeSHD002477 MeSHQ000254 of CAy-G and CAy-M MeSHD006825 MeSHD002460 in RPMI/G-FCS were similar to MeSHQ000208 in RPMI/FCS and significantly better than MeSHQ000208 in Hybri Max. We found that G-FCS was superior to whole FCS as a MeSHQ000208 supplement for the MeSHQ000302 of MeSHD007074 mAbs. MeSHD007074 mAbs were isolated in a single-step MeSHD008722 using MeSHD011506 G MeSHD002846, from the supernatant of CAy-G MeSHD006825 MeSHD002477 cultured in RPMI/10% G-FCS (RPMI-1640 medium supplemented with 10% G-FCS). MeSHD004591 MeSHQ000032 revealed that the purity of MeSHD007074 isolated from the supernatant of CAy-MeSHD019863 cultured in RPMI/10% G-FCS was more than 99%.
16	8110824	Arrangement of MeSHC483858 molecular species in MeSHD004926 MeSHD008566 and reconstituted MeSHD008055 as determined by MeSHD004120 cross-linking of nearest neighbor MeSHD008055.	MeSHD004120 cross-linking has been used to determine the arrangement of MeSHC483858 (PE) molecular species in MeSHD004926 MeSHD008566. No large deviations from random mixing were found in wild-type MeSHD013180 AB1623, either in whole MeSHD002477 or in extracted MeSHD008055 which were reconstituted into multilamellar vesicles. These results suggest, first, that there is little difference in the PE molecular species composition of the three MeSHD008055 monolayers (the inner and outer monolayers of the inner MeSHD008566 and the inner monolayer of the outer MeSHD008566) which contain significant amounts of PE. Secondly, the results suggest that the molecular species within each monolayer and in the extracted MeSHD008055 are arranged close to randomly with no tendency for like molecular species to cluster. E. coli MeSHD013180 L8-2, which has a defect in beta-oxidation and a MeSHD013696-sensitive MeSHD009154 in total MeSHD005227 synthesis, was grown on cis-vaccenate (cis-11,12- octadecenate) to enrich the MeSHD002477 in MeSHC113794. Again, in whole MeSHD002477 or in MeSHD008055 extracted from whole MeSHD002477 and reconstituted into multilamellar vesicles, the species were close to randomly arranged. However, a consistent, slight tendency of divaccenoyl species to pair with like species as compared to pairing with the second most common species, vaccenoyl, palmitoleoyl PE, was noted in both extracted MeSHD008055 and in whole MeSHD002477.
17	12769826	The MeSHD014024 microarray data exchange specification: a MeSHD012111-based, open source tool for sharing MeSHD014024 microarray data.	MeSHD014024 Microarrays (TMAs) allow MeSHD012108 to examine hundreds of small MeSHD014024 samples on a single MeSHD005898 slide. The information held in a single TMA slide may easily involve Gigabytes of data. To benefit from TMA MeSHD013672, the scientific MeSHD012111 MeSHD006301 an open source TMA data exchange specification that MeSHD014836 convey all of the data in a TMA experiment in a format that is understandable to both MeSHD006801 and MeSHD003201. A data exchange specification for TMAs allows MeSHD012108 to submit their data to journals and to public data repositories and to share or merge data from different MeSHD007753. In May 2001, the MeSHD001244 of MeSHQ000473 MeSHD048088 (API) hosted the first in a series of four MeSHD004493, co-sponsored by the MeSHD054547, to develop an open, MeSHD012111-supported TMA data exchange specification. A draft MeSHD014024 microarray data exchange specification was developed through MeSHD004493 meetings. The first MeSHD004493 confirmed MeSHD000091443 for the effort and urged the creation of an open XML-based specification. This was to evolve in steps with approval for each step coming from the stakeholders in the user MeSHD012111 during open MeSHD004493. By the fourth MeSHD004493, held October, 2002, a set of MeSHD065709 (CDEs) was established as well as a basic strategy for organizing TMA data in MeSHD004532-describing XML documents. The TMA data exchange specification is a well-formed XML document with four required sections: 1) Header, containing the specification Dublin Core identifiers, 2) Block, describing the MeSHD010232-embedded array of MeSHD014024, 3)Slide, describing the MeSHD005898 slides produced from the Block, and 4) Core, containing all data related to the individual MeSHD014024 samples contained in the array. Eighty CDEs, conforming to the ISO-11179 specification for data MeSHD004602 constitute XML tags used in the TMA data exchange specification. A set of six simple MeSHD012660 rules describe the complete data exchange specification. Anyone using the data exchange specification can validate their TMA files using a MeSHD012984 implementation written in Perl and distributed as a supplemental file with this MeSHD011642. The TMA data exchange specification is now available in a draft MeSHD020478 with MeSHD012111-approved MeSHD065709 and a MeSHD012111-approved general file format and data structure. The specification can be freely used by the scientific MeSHD012111. Efforts sponsored by the MeSHD001244 for MeSHQ000473 MeSHD048088 to refine the draft TMA data exchange specification are expected to continue for at least two more years. The interested public is invited to participate in these open efforts. Information on MeSHD005544 MeSHD004493 MeSHD014836 be posted at http://www.pathologyinformatics.org (API we site).
18	8858183	MeSHD001053 E in MeSHD009462.	MeSHD001053 E became relevant for MeSHD000072141 in 1993 when the MeSHD001244 of the MeSHD001053 E-epsilon 4 MeSHD000483 with familial and sporadic MeSHD000544 was reported. Since that MeSHD013995, more than 100 confirmations and many MeSHD012106 MeSHD010209 have appeared. A large neurobiological MeSHD008091 concerning the MeSHD012380 of MeSHD001053 E in the MeSHQ000378 of the MeSHD002490 is developing.
19	10632361	Wild-type p53 can induce p21 and MeSHD017209 in MeSHD009447 MeSHD002477 but the MeSHD004249-induced G1 checkpoint MeSHQ000502 is attenuated.	p53 is a MeSHD025521 important in the MeSHD012926 of MeSHD017209. Because p53 MeSHQ000502 as a MeSHD014157, cellular responses depend upon activity of p53 localized in the nucleus. Cytoplasmic sequestration of p53 has been proposed as a mechanism by which the MeSHQ000502 of this MeSHD011506 can be suppressed, particularly in MeSHD009369 types such as MeSHD009447 in which the MeSHQ000453 of MeSHD009154 of p53 is low. Data presented here demonstrate that nuclear p53 MeSHD011506 is expressed in a panel of MeSHD009447 MeSHD002460, and after exposure to MeSHD004249, transcriptionally active p53 expression can be induced. After exposure to both equitoxic IC80 and 10-Gy doses of MeSHD011839, both p53 and p21 were induced, but MeSHD059585 was attenuated. To investigate whether the MeSHD004249 signaling pathway was incapable of inducing sufficient p53 in these MeSHD002477, we expressed additional wild-type p53 after adenoviral vector transduction. This exogenous p53 expression also resulted in p21 induction but was unable to enhance the G1 arrest, suggesting that the pathway downstream from p53 is nonfunctional. Although p53-mediated G1 arrest is attenuated in MeSHD009447 MeSHD002477, the MeSHD001076 of p53 to induce MeSHD017209 appears functional, consistent with its chemosensitive MeSHD010641. This MeSHD014937 demonstrates that p53 is expressed in the nucleus of MeSHD009447 MeSHD002477 and can mediate induction of p21. However, this MeSHD002477 type appears to have an attenuated MeSHD001076 to mediate a MeSHD004249-induced MeSHD059585.
